,coordinate,ip,country,timest,os,connection_type,accuracy,event_type,gps_speed,app_id,count
4395,44.3784|-79.7118,142.120.19.9,CAN,1601555663,android,wifi,5565,GPS,"\\""""",8a38ea503212a1bc3ed9011e59475147,1
4396,49.9018|-97.1761,142.160.130.78,CAN,1601555406,android,wifi,9,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
4397,50.8765|-114.0425,70.77.6.174,CAN,1601554216,ios,wifi,10,GPS,"\\""""",3f65af3c6159cbabb049e6687c47c514,1
4398,45.3736|-71.9690,"\\""""",CAN,1601556726,android,na,12,GPS,"\\""""",30ae46dc565c1bcffa05ee524938d5b2,1
4399,43.7117|-79.7421,174.91.67.18,CAN,1601556930,android,wifi,3964,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
4400,49.1336|-125.8902,75.157.93.173,CAN,1601556924,android,wifi,10,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
4401,51.2076|-114.4685,"\\""""",CAN,1601556605,android,na,1,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4402,45.6086|-75.3996,70.28.35.171,CAN,1601554897,ios,wifi,3,GPS,"\\""""",15a8371fd8bb4a5ec91c62907871594b,1
4403,52.1242|-106.6001,207.47.248.62,CAN,1601555147,android,wifi,7,GPS,"\\""""",1987c5fa941e88221b4da52528864664,1
4404,50.9086|-114.1234,216.66.137.112,CAN,1601556552,android,wifi,13,GPS,"\\""""",7993ed4e315bb654b139abcd44154bac,1
4405,53.5402|-113.5006,24.114.101.164,CAN,1601556559,android,carrier,6,GPS,"\\""""",66de24cd547fc3f45909f32be4e424ee,1
4406,43.6570|-79.3555,72.15.62.5,CAN,1601553621,ios,wifi,18,GPS,"\\""""",30f2b3e2048caa32d54a77107609d52c,1
4407,50.8904|-113.9647,75.155.74.239,CAN,1601554477,ios,wifi,7,GPS,"\\""""",15a8371fd8bb4a5ec91c62907871594b,1
4408,52.7772|-108.2855,142.165.170.8,CAN,1601556300,android,na,13,GPS,"\\""""",3ace05942138df07ecf098f688f277dc,1
4409,43.6927|-79.6313,24.114.60.148,CAN,1601556817,ios,carrier,21,GPS,"\\""""",2bac758857892925a59b6c19eaf583bd,1
4410,45.6036|-73.5536,67.69.76.150,CAN,1601554442,android,carrier,3746,GPS,"\\""""",694feedf5a4535ea0199f592e670b3f7,1
4411,48.4505|-71.0379,96.23.142.41,CAN,1601556858,android,na,6614,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4412,43.1158|-79.8077,72.141.123.124,CAN,1601556353,ios,wifi,7,GPS,"\\""""",011a6a6ee196da7e165c4f5e9fcab275,1
4413,43.6694|-79.5473,"\\""""",CAN,1601555672,android,na,5,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4414,45.0203|-74.7073,216.121.253.27,CAN,1601554310,android,wifi,16,GPS,"\\""""",e9c8a48c2d23e7faf50d705cc7624c75,1
4415,43.5383|-79.9160,67.71.221.34,CAN,1601554863,ios,wifi,12,GPS,"\\""""",8d11c000c24207c2d94b9cd2fd4ecc74,1
4416,43.3405|-80.3127,72.136.108.20,CAN,1601555092,android,carrier,7,GPS,"\\""""",04444d7d9aeb00338b0a012ecb4eb32b,1
4417,43.5938|-79.6323,70.24.72.226,CAN,1601555719,ios,na,5,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4418,53.5311|-113.4697,"\\""""",CAN,1601554764,android,na,6,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4419,53.0171|-112.8425,23.17.139.58,CAN,1601554246,android,wifi,5,GPS,"\\""""",8a38ea503212a1bc3ed9011e59475147,1
4420,43.5588|-80.3004,76.68.50.15,CAN,1601554129,android,wifi,37627,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,2
4421,43.8919|-79.2579,142.120.41.51,CAN,1601553713,android,na,7630,GPS,"\\""""",9111daff59cc5460975f5f83e08a5345,1
4422,54.9211|-95.2843,142.165.85.248,CAN,1601556794,android,carrier,10,GPS,"\\""""",694feedf5a4535ea0199f592e670b3f7,1
4423,43.8172|-79.3333,70.26.29.197,CAN,1601554737,ios,wifi,11,GPS,"\\""""",6ba29b9ef74bc71ed65531acc14cb5ca,1
4424,49.1177|-122.0454,172.218.40.12,CAN,1601553727,android,wifi,5,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
